frame_index,timestamp_seconds,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
26,1.04,33,2,car,0.493699,290.793,149.32,322.109,167.889,306.451,158.604,31.316,18.569
26,1.04,45,2,car,0.771864,417.963,161.111,458.798,180.19,438.38,170.651,40.835,19.079
26,1.04,36,2,car,0.535159,472.874,199.089,598.826,238.494,535.85,218.792,125.953,39.404
26,1.04,2,2,car,0.666516,127.211,215.888,178.324,258.145,152.767,237.017,51.113,42.257
27,1.08,7,2,car,0.701886,123.767,159.145,152.603,180.091,138.185,169.618,28.836,20.946
27,1.08,29,2,car,0.492736,257.221,128.316,275.549,138.556,266.385,133.436,18.329,10.239
27,1.08,33,2,car,0.43017,286.768,148.29,317.517,166.508,302.142,157.399,30.749,18.219
27,1.08,45,2,car,0.550334,410.945,160.884,449.247,178.753,430.096,169.819,38.301,17.869
27,1.08,2,2,car,0.793935,128.924,217.256,182.945,262.045,155.935,239.65,54.021,44.79
27,1.08,46,2,car,0.377744,157.874,105.717,182.132,126.781,170.003,116.249,24.258,21.064
28,1.12,7,2,car,0.733374,124.803,159.85,153.847,181.105,139.325,170.477,29.044,21.255
28,1.12,29,2,car,0.512413,256.087,128.07,273.699,137.841,264.893,132.955,17.611,9.772
28,1.12,33,2,car,0.551403,282.758,147.149,313.179,165.187,297.968,156.168,30.421,18.038
28,1.12,45,2,car,0.461604,402.567,156.987,444.316,176.529,423.441,166.758,41.749,19.542
28,1.12,2,2,car,0.490106,131.675,220.541,186.85,266.427,159.263,243.484,55.175,45.887
28,1.12,46,2,car,0.370074,157.747,106.046,181.19,126.351,169.468,116.199,23.443,20.305
28,1.12,24,2,car,0.277911,213.595,137.332,238.213,152.628,225.904,144.98,24.618,15.296
29,1.16,7,2,car,0.65544,125.641,160.638,155.541,182.727,140.591,171.682,29.9,22.089
29,1.16,29,2,car,0.478112,255.086,127.669,271.667,136.811,263.377,132.24,16.581,9.142
29,1.16,33,2,car,0.338048,279.127,145.992,309.231,163.837,294.179,154.915,30.104,17.844
29,1.16,45,2,car,0.515562,396.716,156.5,437.347,175.508,417.031,166.004,40.631,19.008
29,1.16,2,2,car,0.697567,134.345,223.874,191.376,271.517,162.86,247.696,57.03,47.643
29,1.16,46,2,car,0.34616,156.91,105.855,179.778,125.579,168.344,115.717,22.868,19.724
